userID,session,ETDDC,chunk,dur
28,1,0,7,627.975244
28,1,0,8,619.642018
28,2,1,1,586.570521
28,2,1,2,621.975351
28,2,1,3,535.456101
28,2,1,4,699.521134
28,2,1,5,588.429083
28,2,1,6,627.10718
28,2,1,7,665.701639
28,2,1,8,611.90768
2,1,0,1,573.661432
2,1,0,2,621.065176
2,1,0,3,563.729119
2,1,0,4,649.445397
2,1,0,5,606.341026
2,1,0,6,647.097989
2,1,0,7,632.839761
2,1,0,8,595.302391
2,2,1,1,516.403742
2,2,1,2,686.755712
2,2,1,3,534.249827
2,2,1,4,536.230523
2,2,1,5,616.606469
2,2,1,6,701.387824
2,2,1,7,456.155641
2,2,1,8,734.052314
30,1,0,1,599.124349
30,1,0,2,580.608453
30,1,0,3,620.940716
30,1,0,4,656.343789
30,1,0,5,489.716368
30,1,0,6,640.961045
30,1,0,7,540.439573
30,1,0,8,626.307357
30,2,1,1,599.837227
30,2,1,2,657.73123
30,2,1,3,681.863083
30,2,1,4,633.711464
30,2,1,5,759.44289
30,2,1,6,653.071812
30,2,1,7,621.96163
30,2,1,8,591.862369
32,1,0,1,896.009935
32,1,0,2,342.837763
32,1,0,3,579.471019
32,1,0,4,554.051181
32,1,0,5,629.986197
32,1,0,6,633.06347
32,1,0,7,525.614388
32,1,0,8,555.406817
32,2,1,1,613.861012
32,2,1,2,640.910532
32,2,1,3,694.375271
32,2,1,4,622.698809
32,2,1,5,646.605476
32,2,1,6,611.665757
32,2,1,7,662.472388
32,2,1,8,557.917746
33,1,1,1,648.206187
33,1,1,2,563.63831
33,1,1,3,486.020473
33,1,1,4,585.429178
33,1,1,5,642.906689
33,1,1,6,449.771296
33,1,1,7,682.784115
33,1,1,8,585.562577
33,2,0,1,582.995119
33,2,0,2,673.109128
33,2,0,3,636.117342
33,2,0,4,686.620823
33,2,0,5,618.186245
33,2,0,6,688.843279
33,2,0,7,658.663919
33,2,0,8,713.688102
35,1,1,1,640.593468
35,1,1,2,702.120732
35,1,1,3,656.911246
35,1,1,4,679.734237
35,1,1,5,641.739331
35,1,1,6,656.763798
35,1,1,7,638.685227
35,1,1,8,596.546122
35,2,0,1,638.827087
35,2,0,2,628.832159
35,2,0,3,608.84322
35,2,0,4,620.499523
35,2,0,5,642.515533
35,2,0,6,579.872034
35,2,0,7,613.554059
35,2,0,8,698.120521
36,1,0,1,645.847521
36,1,0,2,742.534973
36,1,0,3,770.084619
36,1,0,4,732.098611
36,1,0,5,614.627715
36,1,0,6,720.449128
36,1,0,7,621.472797
36,1,0,8,609.502413
36,2,1,1,640.498404
36,2,1,2,654.110838
36,2,1,3,659.064822
36,2,1,4,642.876671
36,2,1,5,693.239103
36,2,1,6,668.989839
36,2,1,7,688.139283
36,2,1,8,579.384617
38,1,0,1,755.259055
38,1,0,2,722.894931
38,1,0,3,656.726482
38,1,0,4,684.120701
38,1,0,5,651.18094
38,1,0,6,680.008852
38,1,0,7,641.599254
38,1,0,8,608.786105
38,2,1,1,778.697199
38,2,1,2,662.934761
