UserID,ETDDC,TimeInSession_sec,GameInSession,RMS_3D_POS,MED_3D_POS,RMS_ANGLE_DEG,MED_ANGLE_DEG,RMS_DIST_DIOP,MED_DIST_DIOP
012,0,724.874495,2,2.93387,1.81536,0.780644,0.749649,0.0668466,0.0543667
012,0,1852.400988,3,3.47393,2.90093,1.36965,0.87581,0.083795,0.0595324
012,0,3162.645063,4,3.03087,2.52678,0.545939,0.468137,0.0848144,0.0593801
012,1,37.165801,1,3.14181,2.13893,0.667632,0.622754,0.119644,0.0931471
012,1,1378.220558,2,2.65328,0.990846,0.913905,0.872004,0.0823323,0.0604859
012,1,1379.652669,2,3.29118,2.85716,0.697694,0.603607,0.109035,0.0991511
012,1,2324.885237,3,2.93206,1.27249,0.866463,0.833452,0.0659878,0.0332312
012,1,3595.981007,4,3.20067,1.98624,0.885224,0.675796,0.106856,0.0332337
013,1,454.334593,1,2.52417,1.22505,0.703435,0.457995,0.107055,0.0332191
013,1,1629.295162,2,3.88195,4.97413,0.656945,0.57946,0.106143,0.0332204
013,1,2800.512076,3,3.50995,2.7138,1.538,0.954906,0.151524,0.0332216
013,0,20.84106,1,4.01018,4.97336,0.527215,0.382061,0.136997,0.0332138
013,0,1305.116938,2,4.01092,4.97301,1.43823,0.444114,0.158723,0.0332154
013,0,2512.305707,3,4.24877,3.73165,1.25586,0.640108,0.180952,0.133286
013,0,3769.264254,4,3.83174,4.97369,0.901214,0.620551,0.0702066,0.0332146
014,0,21.053637,1,3.42627,2.7144,0.837844,0.637658,0.165874,0.0787081
014,0,1242.438363,2,3.67893,2.7294,0.906313,0.856608,0.127536,0.0601098
014,0,2468.904929,3,4.6265,3.87553,1.79613,1.08119,0.212554,0.0983211
014,0,3678.702196,4,6.71313,5.63429,1.6572,0.628073,0.312452,0.227389
014,1,22.82991,1,3.54146,1.93591,0.735007,0.700534,0.0910038,0.0660933
014,1,1296.32951,2,4.29691,2.39478,1.10848,0.683855,0.192953,0.15646
014,1,2452.303687,3,4.36742,4.79463,1.06622,0.768213,0.232152,0.0680441
014,1,3629.097726,4,6.02959,6.22103,1.05964,0.664997,0.253258,0.187437
015,1,22.878891,1,2.35947,1.40013,0.656688,0.542486,0.0509613,0.0332205
015,1,1344.143733,2,2.53703,0.790438,0.624905,0.546081,0.0671301,0.0332166
015,1,2543.007284,3,3.12473,0.943631,0.862175,0.782347,0.0793375,0.0332194
015,1,3773.504008,4,2.40877,0.904754,0.508623,0.50085,0.0766958,0.0332166
015,0,19.363373,1,3.14285,1.31743,0.491469,0.359909,0.0866622,0.0332122
015,0,1232.617827,2,3.12002,1.28753,0.905316,0.623696,0.0918208,0.0372535
015,0,2580.216075,3,2.75415,0.645267,0.499185,0.426126,0.075381,0.0353949
015,0,3709.447371,4,3.00458,0.968321,0.563665,0.471469,0.0585384,0.033212
016,0,50.411138,1,4.25754,4.60359,1.14556,1.06569,0.144883,0.0722409
016,0,1452.965226,2,2.78484,0.811027,1.97496,0.514723,0.0816889,0.0406713
016,0,2594.137872,3,3.2809,1.46203,0.735889,0.716551,0.117432,0.0711091
016,0,3789.800406,4,3.03906,0.813996,1.27338,1.08444,0.100077,0.0471508
016,0,3787.30004,4,2.04341,1.15837,0.534964,0.420579,0.0803263,0.0246353
016,1,18.591251,1,2.9893,1.75571,0.526769,0.335718,0.130365,0.0663226
016,1,1174.573934,2,4.3201,3.48836,0.753633,0.526004,0.18259,0.146106
016,1,2404.130597,3,3.97564,2.81707,0.615026,0.44279,0.140056,0.119777
016,1,3660.719834,4,4.48263,2.75403,0.80917,0.651921,0.171526,0.101983
020,0,18.244044,1,3.25115,2.22419,1.40258,0.955111,0.131369,0.0332183
020,0,1218.737567,2,2.86353,1.66278,0.955072,0.776573,0.0909659,0.0411624
020,0,2399.918806,3,2.83707,0.64959,0.795036,0.485778,0.107021,0.0718069
020,0,3580.967231,4,3.75063,1.416,0.840172,0.725777,0.134336,0.118563
020,1,20.25765,1,3.36693,2.76498,0.496938,0.470222,0.0902924,0.0332201
020,1,1317.528974,2,2.2258,0.568882,0.758963,0.554967,0.0512978,0.0409471
020,1,2440.468508,3,3.3651,1.14515,0.654219,0.582827,0.064559,0.0332253
020,1,3648.650814,4,3.17226,1.86912,0.582575,0.396142,0.0671193,0.0332244
021,1,19.085751,1,3.30845,1.60366,2.99593,1.16382,0.137691,0.0314977
021,1,1170.890487,2,3.11234,1.70216,5.02191,0.838135,0.117769,0.0332115
021,1,2597.934936,3,2.67974,1.05668,3.10665,1.80905,0.116987,0.0332091
021,1,3956.589376,4,3.6218,2.34596,5.70369,2.07773,0.101961,0.0699428
021,0,43.442737,1,4.04169,3.99112,2.52786,0.412594,0.135571,0.110627
021,0,1271.984006,2,4.01036,4.76467,1.57246,0.662343,0.146413,0.0332198
021,0,2405.610738,3,5.47991,5.1085,5.02823,1.56323,0.220665,0.137413
021,0,3657.371474,4,3.4474,2.14979,3.44234,1.58807,0.145837,0.0332183
022,0,23.300612,1,4.66114,5.31503,0.804893,0.682996,0.141072,0.130354
022,0,1296.197299,2,3.44084,0.921751,0.964139,0.848114,0.114604,0.0906326
